"","method","date","ret"
"169","IBEX",2017-01-03,0.802386354011209
"170","IBEX",2017-01-04,0.391320317805646
"171","IBEX",2017-01-05,0.995730083276686
"172","IBEX",2017-01-06,1.24039379782405
"173","IBEX",2017-01-09,0.982407751874133
"174","IBEX",2017-01-10,0.832315152893514
"175","IBEX",2017-01-11,0.76799758840609
"176","IBEX",2017-01-12,0.237910057824842
"177","IBEX",2017-01-13,1.26375753139428
"178","IBEX",2017-01-17,1.3734453980202
"179","IBEX",2017-01-18,1.13284592010938
"180","IBEX",2017-01-19,0.979456244003467
"181","IBEX",2017-01-20,0.812962154323936
"182","IBEX",2017-01-23,-0.00806843539912253
"183","IBEX",2017-01-24,0.558468093328931
"184","IBEX",2017-01-25,1.85365968059364
"185","IBEX",2017-01-26,1.57860278276661
"186","IBEX",2017-01-27,1.55197257642301
"187","IBEX",2017-01-30,0.405891210269252
"188","IBEX",2017-01-31,-9.4174281184276e-05
"189","IBEX",2017-02-01,0.53091986479649
"190","IBEX",2017-02-02,1.51642138021421
"191","IBEX",2017-02-03,1.8486807813964
"192","IBEX",2017-02-06,0.821513910594575
"193","IBEX",2017-02-07,0.833449935124819
"194","IBEX",2017-02-08,1.14530494042148
"195","IBEX",2017-02-09,2.25526191734397
"196","IBEX",2017-02-10,2.23522768531792
"197","IBEX",2017-02-13,3.22911530118208
"198","IBEX",2017-02-14,3.27335551834906
"199","IBEX",2017-02-15,3.5383300536574
"200","IBEX",2017-02-16,3.40789544477687
"201","IBEX",2017-02-17,3.10839777238654
"202","IBEX",2017-02-21,3.45321857158487
"203","IBEX",2017-02-22,2.70811855289614
"204","IBEX",2017-02-23,2.62827953663886
"205","IBEX",2017-02-24,2.39858700862906
"206","IBEX",2017-02-27,2.65737251820661
"207","IBEX",2017-02-28,3.47547990571388
"208","IBEX",2017-03-01,5.21023975656353
"209","IBEX",2017-03-02,5.11534081864878
"210","IBEX",2017-03-03,5.49396199430622
"211","IBEX",2017-03-06,5.34846038667762
"212","IBEX",2017-03-07,5.31238423760092
"213","IBEX",2017-03-08,5.46579867387363
"214","IBEX",2017-03-09,6.37308060321228
"215","IBEX",2017-03-10,6.47912654547209
"216","IBEX",2017-03-13,6.63941448105724
"217","IBEX",2017-03-14,5.7835058366758
"218","IBEX",2017-03-15,6.60223586595736
"219","IBEX",2017-03-16,7.84893285919667
"220","IBEX",2017-03-17,8.62755030390755
"221","IBEX",2017-03-20,8.41990125766558
"222","IBEX",2017-03-21,8.15228671934914
"223","IBEX",2017-03-22,8.01847680158266
"224","IBEX",2017-03-23,8.9597343838465
"225","EUROSTOXX",2017-01-03,0.236510509194534
"226","EUROSTOXX",2017-01-04,0.303559423151847
"227","EUROSTOXX",2017-01-05,0.319420036426609
"228","EUROSTOXX",2017-01-06,0.54565964701998
"229","EUROSTOXX",2017-01-09,0.133563407207481
"230","EUROSTOXX",2017-01-10,-0.0310230589384671
"231","EUROSTOXX",2017-01-11,0.0908155184768289
"232","EUROSTOXX",2017-01-12,-0.573928374244052
"233","EUROSTOXX",2017-01-13,0.537830004677208
"234","EUROSTOXX",2017-01-17,0.340528054430621
"235","EUROSTOXX",2017-01-18,0.553190945111689
"236","EUROSTOXX",2017-01-19,0.416576035832981
"237","EUROSTOXX",2017-01-20,0.760828108211388
"238","EUROSTOXX",2017-01-23,0.192935598736367
"239","EUROSTOXX",2017-01-24,0.57835018423396
"240","EUROSTOXX",2017-01-25,1.69924153598617
"241","EUROSTOXX",2017-01-26,1.42677126565884
"242","EUROSTOXX",2017-01-27,0.859357217672869
"243","EUROSTOXX",2017-01-30,-0.526914120165241
"244","EUROSTOXX",2017-01-31,-1.44918401987737
"245","EUROSTOXX",2017-02-01,-0.810360755419049
"246","EUROSTOXX",2017-02-02,-0.702209838388568
"247","EUROSTOXX",2017-02-03,-0.107700553426663
"248","EUROSTOXX",2017-02-06,-1.25918734912876
"249","EUROSTOXX",2017-02-07,-1.3526609608176
"250","EUROSTOXX",2017-02-08,-1.23435785905173
